frame,sim_time_s,x,y,z,yaw,speed_kmh,speed_limit_kmh,distance_traveled_m,route_progress,route_target_index,traffic_light_state,nearest_obstacle_distance_m
4900864,0.05,-164.732,-95.142,0.001,-179.914,0.025,30.0,0.0,0.0625,5,Green,
4900869,0.3,-164.732,-95.142,0.001,-179.914,0.004,30.0,0.0,0.0625,5,Green,
4900874,0.55,-164.732,-95.142,0.002,-179.914,0.001,30.0,0.0,0.0625,5,Green,
4900879,0.8,-164.878,-95.142,0.001,-179.921,6.354,30.0,0.0,0.0625,5,Green,
4900884,1.05,-165.513,-95.143,0.001,-179.897,11.142,30.0,0.0,0.0625,5,Green,
4900889,1.3,-166.395,-95.144,0.001,-179.899,14.028,30.0,2.0,0.0625,6,Green,
4900894,1.55,-167.452,-95.146,0.001,-179.906,16.232,30.0,2.0,0.0625,6,Green,
4900899,1.8,-168.642,-95.148,0.002,-179.909,17.887,30.0,4.0,0.0625,8,Green,
4900904,2.05,-169.906,-95.15,0.002,-179.912,18.164,30.0,6.0,0.0625,9,Green,
4900909,2.3,-171.182,-95.152,0.002,-179.913,18.475,30.0,6.0,0.0625,9,Red,
4900914,2.55,-172.468,-95.154,0.002,-179.913,18.64,30.0,8.0,0.0625,9,Red,
4900919,2.8,-173.783,-95.156,0.002,-179.914,19.235,30.0,10.0,0.0625,11,Red,
4900924,3.05,-175.134,-95.158,0.002,-179.914,19.646,30.0,10.0,0.0625,11,Red,
4900929,3.3,-176.517,-95.16,0.002,-179.914,20.129,30.0,12.0,0.0625,12,Red,
4900934,3.55,-177.923,-95.162,0.002,-179.914,20.365,30.0,14.0,0.0625,13,Red,
4900939,3.8,-179.349,-95.164,0.003,-179.914,20.668,30.0,14.0,0.0625,13,Red,
4900944,4.05,-180.789,-95.166,0.006,-179.914,20.766,30.0,16.0,0.0625,14,Red,
4900949,4.3,-182.238,-95.169,0.009,-179.915,20.966,30.0,18.0,0.0625,15,Red,
4900954,4.55,-183.695,-95.171,0.014,-179.915,20.983,30.0,18.0,0.0625,15,Red,
4900959,4.8,-185.158,-95.173,0.018,-179.915,21.131,30.0,20.0,0.0625,15,Red,
4900964,5.05,-186.624,-95.175,0.023,-179.915,21.107,30.0,22.0,0.0625,17,Red,
4900969,5.3,-188.095,-95.177,0.027,-179.915,21.225,30.0,24.0,0.0625,18,Red,
4900974,5.55,-189.567,-95.179,0.032,-179.915,21.179,30.0,24.0,0.0625,18,Red,
4900979,5.8,-191.041,-95.182,0.036,-179.914,21.28,30.0,26.0,0.0625,18,Red,
4900984,6.05,-192.517,-95.184,0.04,-179.915,21.225,30.0,28.0,0.0625,20,Red,
4900989,6.3,-193.994,-95.186,0.044,-179.917,21.324,30.0,30.0,0.0625,21,Red,
4900994,6.55,-195.473,-95.188,0.046,-179.921,21.271,30.0,30.0,0.0625,21,Red,
4900999,6.8,-196.953,-95.19,0.047,-179.917,21.371,30.0,32.0,0.0625,21,Red,
4901004,7.05,-198.44,-95.191,0.03,-179.917,21.586,30.0,34.0,0.0625,22,Red,
4901009,7.3,-199.932,-95.194,0.024,-179.903,21.515,30.0,36.0,0.0625,24,Red,
4901014,7.55,-201.433,-95.196,0.006,-179.899,21.522,30.0,36.0,0.0625,24,Red,
4901019,7.8,-202.927,-95.198,-0.0,-179.905,21.528,30.0,38.0,0.0625,25,Red,
4901024,8.05,-204.42,-95.201,0.001,-179.907,21.454,30.0,40.0,0.0625,26,Red,
4901029,8.3,-205.912,-95.203,0.002,-179.908,21.519,30.0,42.0,0.0625,27,Red,
4901034,8.55,-207.403,-95.206,0.002,-179.91,21.43,30.0,42.0,0.0625,27,Green,
4901039,8.8,-208.893,-95.208,0.002,-179.911,21.496,30.0,44.0,0.0625,28,Green,
4901044,9.05,-210.383,-95.21,0.002,-179.911,21.412,30.0,46.0,0.0625,28,Green,
4901049,9.3,-211.873,-95.212,0.002,-179.911,21.483,30.0,48.0,0.125,30,Green,
4901054,9.55,-213.362,-95.215,0.002,-179.911,21.401,30.0,48.0,0.125,30,Green,
4901059,9.8,-214.85,-95.217,0.002,-179.911,21.474,30.0,50.0,0.125,31,Green,
4901064,10.05,-216.339,-95.219,0.002,-179.911,21.395,30.0,52.0,0.125,32,Green,
4901069,10.3,-217.827,-95.221,0.002,-179.911,21.47,30.0,54.0,0.125,33,Green,
4901074,10.55,-219.315,-95.224,0.002,-179.911,21.391,30.0,54.0,0.125,33,Green,
4901079,10.8,-220.803,-95.226,0.002,-179.911,21.467,30.0,56.0,0.125,34,Green,
4901084,11.05,-222.291,-95.228,0.002,-179.911,21.389,30.0,58.0,0.125,34,Green,
4901089,11.3,-223.78,-95.23,0.002,-179.911,21.465,30.0,60.0,0.125,35,Green,
4901094,11.55,-225.267,-95.233,0.002,-179.911,21.388,30.0,60.0,0.125,35,Green,
4901099,11.8,-226.756,-95.234,0.002,-179.937,21.464,30.0,62.0,0.125,36,Green,
4901104,12.05,-228.243,-95.234,0.002,179.984,21.386,30.0,64.0,0.125,37,Green,
4901109,12.3,-229.731,-95.222,0.002,179.604,21.462,30.0,64.0,0.125,37,Green,
4901114,12.55,-231.218,-95.193,0.002,178.925,21.38,30.0,66.0,0.125,38,Green,
4901119,12.8,-232.704,-95.138,0.002,177.943,21.45,30.0,68.0,0.125,39,Green,
4901124,13.05,-234.189,-95.054,0.002,176.93,21.368,30.0,70.0,0.125,40,Green,
4901129,13.3,-235.67,-94.933,0.002,175.557,21.446,30.0,70.0,0.125,40,Green,
4901134,13.55,-237.147,-94.775,0.002,174.069,21.359,30.0,72.151,0.125,41,Green,
4901139,13.8,-238.62,-94.581,0.002,172.634,21.424,30.0,74.452,0.125,42,Green,
4901144,14.05,-240.086,-94.342,0.002,171.057,21.359,30.0,74.452,0.125,42,Green,
4901149,14.3,-241.545,-94.065,0.002,169.394,21.422,30.0,76.752,0.125,43,Green,
4901154,14.55,-242.997,-93.751,0.002,168.018,21.34,30.0,79.053,0.125,44,Green,
4901159,14.8,-244.436,-93.386,0.002,166.12,21.422,30.0,79.053,0.125,44,Green,
4901164,15.05,-245.861,-92.976,0.002,164.144,21.331,30.0,81.354,0.125,45,Green,
4901169,15.3,-247.275,-92.525,0.002,162.571,21.403,30.0,83.654,0.125,46,Green,
4901174,15.55,-248.67,-92.021,0.002,160.503,21.336,30.0,83.654,0.125,46,Green,
4901179,15.8,-250.047,-91.469,0.002,158.389,21.398,30.0,85.955,0.125,47,Green,
4901184,16.05,-251.407,-90.876,0.002,156.723,21.321,30.0,88.256,0.125,48,Green,
4901189,16.3,-252.742,-90.23,0.002,154.549,21.405,30.0,88.256,0.125,48,Green,
4901194,16.55,-254.052,-89.537,0.002,152.35,21.315,30.0,90.556,0.125,49,Green,
4901199,16.8,-255.34,-88.802,0.002,150.613,21.389,30.0,92.857,0.125,50,Green,
4901204,17.05,-256.597,-88.016,0.002,148.359,21.323,30.0,92.857,0.125,50,Green,
4901209,17.3,-257.829,-87.192,0.002,146.394,21.383,30.0,95.157,0.125,51,Green,
4901214,17.55,-259.029,-86.321,0.002,144.387,21.306,30.0,97.458,0.125,52,Green,
4901219,17.8,-260.189,-85.399,0.002,141.948,21.393,30.0,97.458,0.125,52,Green,
4901224,18.05,-261.32,-84.441,0.002,139.89,21.3,30.0,99.759,0.125,53,Green,
4901229,18.3,-262.411,-83.438,0.002,137.808,21.374,30.0,102.062,0.125,54,Green,
4901234,18.55,-263.456,-82.389,0.002,135.321,21.313,30.0,102.062,0.125,54,Green,
4901239,18.8,-264.468,-81.306,0.002,133.223,21.373,30.0,104.379,0.125,55,Green,
4901244,19.05,-265.435,-80.183,0.002,131.122,21.298,30.0,106.696,0.125,56,Green,
4901249,19.3,-266.35,-79.018,0.002,128.603,21.387,30.0,106.696,0.125,56,Green,
4901254,19.55,-267.227,-77.824,0.002,126.489,21.294,30.0,109.013,0.125,57,Green,
4901259,19.8,-268.056,-76.596,0.002,124.359,21.369,30.0,111.33,0.125,58,Green,
4901264,20.05,-268.827,-75.331,0.002,121.825,21.309,30.0,111.33,0.1875,58,Green,
4901269,20.3,-269.556,-74.042,0.002,119.693,21.369,30.0,113.647,0.1875,59,Green,
4901274,20.55,-270.233,-72.724,0.002,117.561,21.295,30.0,115.964,0.1875,60,Green,
4901279,20.8,-270.849,-71.377,0.002,115.012,21.384,30.0,115.964,0.1875,60,Green,
4901284,21.05,-271.42,-70.01,0.002,112.876,21.291,30.0,118.28,0.1875,61,Green,
