rank,title_cn,title_en,rating,rating_count,year,country,genre,director_actor,quote,detail_url
24,教父,The Godfather,9.3,1107337,1972,美国,剧情 犯罪,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
25,末代皇帝,The Last Emperor,9.3,1029036,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
26,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,9.2,1423032,2001,美国 英国,奇幻 冒险,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,童话世界的开端。,https://movie.douban.com/subject/1295038/
27,当幸福来敲门,The Pursuit of Happyness,9.1,1688065,2006,美国,剧情 传记 家庭,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,平民励志片。,https://movie.douban.com/subject/1849031/
28,龙猫,となりのトトロ,9.2,1411435,1988,日本,动画 奇幻 冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
29,活着,,9.3,970482,1994,中国大陆 中国香港,剧情 历史 家庭,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/
30,怦然心动,Flipped,9.1,2051514,2010,美国,剧情 喜剧 爱情,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
31,蝙蝠侠：黑暗骑士,The Dark Knight,9.2,1193074,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,无尽的黑暗。,https://movie.douban.com/subject/1851857/
32,指环王3：王者无敌,The Lord of the Rings: The Return of the King,9.3,910833,2003,美国 新西兰,剧情 动作 奇幻 冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,史诗的终章。,https://movie.douban.com/subject/1291552/
33,我不是药神,,9.0,2350608,2018,中国大陆,剧情 喜剧,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/
